date,geo_level,number_of_trades,volume,rolling_sum
2018-01-02,City,912,159118000,NA
2018-01-02,County,206,23590000,NA
2018-01-02,School District,142,23472000,NA
2018-01-03,City,900,173385000,NA
2018-01-03,County,303,32625000,NA
2018-01-03,School District,182,37255000,NA
2018-01-04,City,821,141234000,NA
2018-01-04,County,359,51111000,NA
2018-01-04,School District,196,61373000,NA
2018-01-05,City,875,131171000,NA
2018-01-05,County,161,23973000,NA
2018-01-05,School District,241,52446000,NA
2018-01-08,City,824,130046000,NA
2018-01-08,County,207,17095000,NA
2018-01-08,School District,195,29120000,NA
2018-01-09,City,1062,260398000,NA
2018-01-09,County,250,50596000,NA
2018-01-09,School District,255,60782000,NA
2018-01-10,City,995,182158000,1177510000
2018-01-10,County,242,53373000,252363000
2018-01-10,School District,246,35005000,299453000
2018-01-11,City,824,190767000,1209159000
2018-01-11,County,246,33664000,262437000
2018-01-11,School District,174,25625000,301606000
2018-01-12,City,837,164797000,1200571000
2018-01-12,County,246,43212000,273024000
2018-01-12,School District,158,25995000,290346000
2018-01-16,City,817,142232000,1201569000
2018-01-16,County,279,38079000,259992000
2018-01-16,School District,191,26616000,255589000
2018-01-17,City,932,139306000,1209704000
2018-01-17,County,291,41831000,277850000
2018-01-17,School District,201,25528000,228671000
2018-01-18,City,883,105256000,1184914000
2018-01-18,County,302,71098000,331853000
2018-01-18,School District,223,44570000,244121000
2018-01-19,City,837,121656000,1046172000
2018-01-19,County,366,152408000,433665000
2018-01-19,School District,165,11545000,194884000
2018-01-22,City,804,125962000,989976000
2018-01-22,County,249,30235000,410527000
2018-01-22,School District,178,18520000,178399000
2018-01-23,City,931,119859000,919068000
2018-01-23,County,302,60158000,437021000
2018-01-23,School District,209,23323000,176097000
2018-01-24,City,920,150505000,904776000
2018-01-24,County,255,15639000,409448000
2018-01-24,School District,263,46545000,196647000
2018-01-25,City,1019,186075000,948619000
2018-01-25,County,234,24864000,396233000
2018-01-25,School District,245,79350000,249381000
2018-01-26,City,747,96240000,905553000
2018-01-26,County,264,21266000,375668000
2018-01-26,School District,165,19815000,243668000
2018-01-29,City,762,86874000,887171000
2018-01-29,County,239,31191000,335761000
2018-01-29,School District,218,32407000,231505000
2018-01-30,City,875,124419000,889934000
2018-01-30,County,225,19895000,203248000
2018-01-30,School District,190,17530000,237490000
2018-01-31,City,903,191473000,955445000
2018-01-31,County,223,30842000,203855000
2018-01-31,School District,253,22344000,241314000
2018-02-01,City,944,137743000,973329000
2018-02-01,County,227,39314000,183011000
2018-02-01,School District,228,24396000,242387000
2018-02-02,City,815,154080000,976904000
2018-02-02,County,275,43066000,210438000
2018-02-02,School District,130,12705000,208547000
2018-02-05,City,864,145897000,936726000
2018-02-05,County,212,33500000,219074000
2018-02-05,School District,175,15085000,144282000
2018-02-06,City,907,190542000,1031028000
2018-02-06,County,238,26525000,224333000
2018-02-06,School District,218,27350000,151817000
2018-02-07,City,845,196094000,1140248000
2018-02-07,County,267,50090000,243232000
2018-02-07,School District,288,28130000,147540000
2018-02-08,City,895,158968000,1174797000
2018-02-08,County,307,44111000,267448000
2018-02-08,School District,163,58645000,188655000
2018-02-09,City,762,177981000,1161305000
2018-02-09,County,173,24112000,260718000
2018-02-09,School District,147,26793000,193104000
2018-02-12,City,929,125161000,1148723000
2018-02-12,County,235,44582000,265986000
2018-02-12,School District,201,21905000,190613000
2018-02-13,City,963,143751000,1138394000
2018-02-13,County,297,50505000,273425000
2018-02-13,School District,238,23185000,201093000
2018-02-14,City,971,152530000,1145027000
2018-02-14,County,250,31180000,271105000
2018-02-14,School District,192,26897000,212905000
2018-02-15,City,880,143517000,1098002000
2018-02-15,County,316,59495000,304075000
2018-02-15,School District,230,44138000,229693000
2018-02-16,City,765,98618000,1000526000
2018-02-16,County,210,23367000,277352000
2018-02-16,School District,157,12777000,214340000
2018-02-20,City,938,203380000,1044938000
2018-02-20,County,284,31434000,264675000
2018-02-20,School District,220,25067000,180762000
2018-02-21,City,872,170613000,1037570000
2018-02-21,County,403,87746000,328309000
2018-02-21,School District,211,25990000,179959000
2018-02-22,City,876,137125000,1049534000
2018-02-22,County,343,43746000,327473000
2018-02-22,School District,671,373698000,531752000
2018-02-23,City,2575,545558000,1451341000
2018-02-23,County,320,33031000,309999000
